arxiv_id,year_group,model_name,n_words,n_files,n_citations,cit_per_100_words,word_stratum,log_perplexity,perplexity,burstiness_std,burstiness_cv,n_sentences_scored,n_tokens_scored
2109.13986,2015,Qwen/Qwen2.5-0.5B,259,1,17,6.563706563706563,0,3.441218176553416,31.224972538928974,0.707584915648495,0.1381204808595165,17,344
2109.14115,2015,Qwen/Qwen2.5-0.5B,248,1,12,4.838709677419355,0,3.448487863600629,31.452795414510955,1.081679628537721,0.2268952884388144,13,318
2109.14285,2015,Qwen/Qwen2.5-0.5B,275,1,16,5.818181818181818,0,3.260860423142997,26.071960412506968,0.7884063201477047,0.162127436843726,16,382
2109.14419,2015,Qwen/Qwen2.5-0.5B,190,1,10,5.263157894736842,0,3.2508769924357788,25.81296777099463,0.4081969763617825,0.0806112565063094,10,236
2109.14830,2015,Qwen/Qwen2.5-0.5B,236,1,18,7.627118644067797,0,3.777395702543713,43.70208018883132,0.759718149963544,0.1516860696089081,11,336
2110.00165,2015,Qwen/Qwen2.5-0.5B,248,1,10,4.032258064516129,0,2.783397278375371,16.173874873595963,1.2094008440219994,0.2349367624789432,17,337
2110.03757,2015,Qwen/Qwen2.5-0.5B,248,1,13,5.241935483870968,0,2.7358730113139007,15.423202190260795,0.6640152589863432,0.1565254107210235,13,357
2110.04109,2015,Qwen/Qwen2.5-0.5B,195,1,8,4.102564102564102,0,3.1795882039995336,24.036853233723207,0.8745730094608681,0.1886189961209027,9,268
2110.04744,2015,Qwen/Qwen2.5-0.5B,277,1,6,2.166064981949458,0,2.7223389328167005,15.2158695539991,0.5445867691417248,0.1342425229222811,11,372
2110.05777,2015,Qwen/Qwen2.5-0.5B,263,1,5,1.9011406844106464,0,3.0635621561806583,21.4036647246251,0.7817062712507689,0.1963838020262318,10,338
2110.06273,2015,Qwen/Qwen2.5-0.5B,277,1,16,5.776173285198556,0,2.983199601320876,19.75091069297732,1.1115136443281988,0.2283725222087413,17,388
2110.07661,2015,Qwen/Qwen2.5-0.5B,214,1,9,4.205607476635514,0,3.4813122749328613,32.5023461165849,1.1765410152474904,0.2282709869613466,10,256
2110.07888,2015,Qwen/Qwen2.5-0.5B,171,1,8,4.678362573099415,0,2.986271213840794,19.81167110599244,0.7653475978363675,0.1782076921133477,8,222
2110.08058,2015,Qwen/Qwen2.5-0.5B,211,1,14,6.6350710900473935,0,3.513934117306321,33.58011637696126,0.6740783262237546,0.1386720087329699,9,263
2110.08263,2015,Qwen/Qwen2.5-0.5B,253,1,14,5.533596837944664,0,3.5963534335116365,36.46501958446118,0.9878978570540248,0.1879885510410837,13,333
2110.09780,2015,Qwen/Qwen2.5-0.5B,178,1,3,1.6853932584269662,0,3.291477103855299,26.882542651075912,0.9565600279219592,0.179158262061545,10,230
2110.09784,2015,Qwen/Qwen2.5-0.5B,276,1,10,3.6231884057971016,0,2.634342300159305,13.93414496383897,0.6904609822482989,0.1652317821255496,13,358
2110.09860,2015,Qwen/Qwen2.5-0.5B,200,1,10,5.0,0,3.2321462989749765,25.333972941111966,0.8232010080919301,0.1589343767627151,11,266
2110.10415,2015,Qwen/Qwen2.5-0.5B,260,1,18,6.923076923076923,0,3.0527671089385477,21.17385379440234,0.8145435946560668,0.1821421638476824,15,358
2110.14735,2015,Qwen/Qwen2.5-0.5B,211,1,8,3.791469194312796,0,2.77171436254529,15.986016359144994,1.1053251291664523,0.237213760662453,14,276
2110.14863,2015,Qwen/Qwen2.5-0.5B,203,1,20,9.852216748768472,0,3.32595643160636,27.825599202376925,1.1072379414971385,0.1866336711867502,18,285
2110.15018,2015,Qwen/Qwen2.5-0.5B,214,1,12,5.607476635514018,0,2.811902866242038,16.641554761957185,0.8182571910105771,0.2019515346275851,10,314
2110.15064,2015,Qwen/Qwen2.5-0.5B,159,1,6,3.7735849056603774,0,2.857239089087042,17.41338370647007,1.4103341946079242,0.2902901708484943,8,191
2110.15250,2015,Qwen/Qwen2.5-0.5B,243,1,19,7.818930041152264,0,3.120155311561561,22.649897160910005,0.9961335923145446,0.2013716443298124,14,333
2111.00765,2015,Qwen/Qwen2.5-0.5B,239,1,8,3.3472803347280333,0,2.996901041666667,20.023389027765948,0.7214597987835569,0.1748486974651157,12,300
2111.02275,2015,Qwen/Qwen2.5-0.5B,261,1,6,2.2988505747126435,0,3.4027099609375,30.045411714010967,0.8438684560263082,0.1896483896937751,11,318
2111.02434,2015,Qwen/Qwen2.5-0.5B,256,1,9,3.515625,0,3.3442324683779763,28.33881637954927,0.7683148406735456,0.1744171474076859,10,336
2111.02887,2015,Qwen/Qwen2.5-0.5B,264,1,7,2.6515151515151514,0,3.163468747233534,23.6524983357409,0.7269619760680578,0.1764921841768742,13,353
2111.04779,2015,Qwen/Qwen2.5-0.5B,188,1,17,9.042553191489365,0,3.280607677641369,26.591927110585765,1.2675312118226592,0.2531585731657666,10,252
2111.05080,2015,Qwen/Qwen2.5-0.5B,177,1,0,0.0,0,3.29034423828125,26.852105587769408,0.5109992122468483,0.1279708576512744,7,208
2111.07832,2015,Qwen/Qwen2.5-0.5B,263,1,13,4.942965779467681,0,3.897304250233209,49.269451809132086,0.6855514551950941,0.1314164045614397,11,335
2111.08995,2015,Qwen/Qwen2.5-0.5B,238,1,4,1.680672268907563,0,2.7863241056116617,16.221282354002497,0.727138005722255,0.2064118104021641,10,328
2111.10003,2015,Qwen/Qwen2.5-0.5B,235,1,9,3.829787234042553,0,3.0811876246058976,21.78425856093748,0.8988559082583121,0.201768906277082,14,337
2111.10208,2015,Qwen/Qwen2.5-0.5B,270,1,7,2.592592592592593,0,3.0555209689670138,21.232243986321773,0.8873181237506474,0.191331981396672,16,360
2111.10951,2015,Qwen/Qwen2.5-0.5B,256,1,18,7.03125,0,3.0782395306755514,21.720131093840838,1.345259768681637,0.2858188054509524,13,340
2111.11103,2015,Qwen/Qwen2.5-0.5B,273,1,10,3.6630036630036633,0,3.1675405874624625,23.749003874208448,0.3879036509424826,0.084498932151835,12,333
2111.12516,2015,Qwen/Qwen2.5-0.5B,230,1,0,0.0,0,3.1885569338627757,24.25340291335944,0.7625020292425844,0.1681823652065005,11,363
2111.12950,2015,Qwen/Qwen2.5-0.5B,226,1,3,1.327433628318584,0,2.8990418365036232,18.156739906743343,0.602915809590479,0.1544622022563517,6,345
2112.00209,2015,Qwen/Qwen2.5-0.5B,260,1,6,2.307692307692308,0,2.5128659581291606,12.340246057757824,1.1638343184011888,0.2640835386340722,13,338
2112.01573,2015,Qwen/Qwen2.5-0.5B,222,1,13,5.855855855855856,0,3.18157958984375,24.084767575128797,0.7716241371804778,0.1705305977311678,9,287
